code,nombre,edad,genero,p_elecc,region,partido,chapulin,historia_pol,dirigencia,exp_admin,exp_leg,comision,presi,secre,directiva,jucopo,iniciativa,pleno,puntos,reelecc,completo,asoc,indisciplina,inasistencia,licencia
mor1,Alfaro Morales Maria Isabel,55,2,1,4,1,1,2,1,1,1,6,0,2,0,0,3,3,4,1,0,1,0,0,0
mor2,Almazan Burgos Karla Yuritzi,47,2,1,5,1,1,1,1,0,1,2,0,0,1,0,11,24,0,0,0,1,0,0,0
mor3,Almazan Muñoz Odette Nayeri,24,2,1,4,1,1,1,0,0,0,3,0,1,0,0,7,4,7,0,0,0,0,2,0
mor4,Alvarado Murguia Rosa Maria,54,2,2,3,1,1,1,0,1,0,3,0,1,0,0,5,2,4,0,0,0,0,1,0
mor5,Ambrocio Gachuz Jose Guadalupe,60,1,1,4,1,1,2,0,1,2,4,0,2,0,0,10,7,3,0,0,0,0,0,0
mor6,Antonio Altamirano Carol,57,1,1,3,1,1,2,1,1,4,3,0,1,0,0,5,9,6,1,0,1,0,2,3
mor7,Arellano Reyes Martha Nabetse,26,2,2,1,1,1,1,0,0,0,4,0,2,0,0,4,4,0,0,0,0,0,0,0
mor8,Armendariz Guerra Carmen Patricia,66,2,2,3,1,1,3,1,1,0,5,1,1,0,0,27,10,21,0,0,1,0,9,0
mor9,Arreola Martinez Martha Alicia,64,2,3,1,1,1,1,1,1,0,5,0,1,0,0,5,13,11,0,0,1,0,0,0
mor10,Arriaga Rojas Justino Eugenio,41,1,1,2,1,3,2,1,1,2,6,0,3,0,0,69,12,24,0,0,1,0,1,3
mor11,Ascencio Ortega Reyna Celeste,28,2,2,5,1,1,1,0,1,1,5,0,2,0,0,105,19,31,0,0,0,0,1,0
mor12,Atanacio luna Raymundo,51,1,1,4,1,2,3,0,1,2,4,0,1,0,0,44,38,40,1,0,0,0,2,0
mor13,Avila Flores Claudia Selene,45,2,2,4,1,1,1,0,0,0,6,0,2,0,0,8,23,4,0,0,0,0,1,0
mor14,Ayala Leyva Ana Elizabeth,45,2,1,1,1,1,1,0,1,0,12,0,1,0,0,22,14,2,1,0,0,0,1,0
mor15,Aysa Damas Carlos Miguel,25,1,2,3,1,3,2,0,0,0,6,0,3,0,0,0,1,0,0,0,0,1,3,0
mor16,Baldenebro Arredondo Manuel de Jesus,59,1,1,1,1,1,3,1,1,1,5,1,0,0,0,22,8,0,1,0,1,0,4,3
mor17,Barajas Garcia Martha,57,2,2,2,1,1,3,1,1,1,3,0,1,0,0,17,5,0,0,0,1,0,1,0
mor18,Barboza Llamas Maximiano,51,1,2,1,1,1,3,1,0,1,6,0,2,0,0,5,5,0,0,0,1,0,1,0
mor19,Barrera Puc Rocío Natalí,35,2,2,3,1,1,1,1,1,0,3,0,1,0,0,12,11,3,1,0,1,0,2,0
mor20,Barrera Toledo Jorge Alberto,36,1,1,4,1,1,1,0,1,0,8,0,2,0,0,7,10,1,0,0,0,0,1,0
mor21,Batun Chulim Wilbert Alberto,41,2,1,3,1,1,1,0,0,1,6,0,2,0,0,11,4,0,0,0,0,0,0,3
