Iniciativa,Presentador,Tipo.de.Cámara,Abstencion,Votos.en.contra,Votos.a..favor,Año.Legislativo,Periodo,Senado,Parlamento.Abierto,Dispensa.de.trámites,Tiempo.Pasado,Tipo.de.Dictamen,Pronunciamiento.AMLO,Link.Dictamen,Link.votación,Fecha,indisciplina,inasistencia,licencia
"Decreto por el que se adicionan diversas disposiciones a la ley general de responsabilidades administrativas, en materia de hostigamiento y de acoso sexual ",Congreso Local,Origen,0,0,445,2,2,No,No,No,5 meses,Modificación a Ley Existente,0,https://sitl.diputados.gob.mx/LXV_leg/cuadros_comparativos/1PO2/0664-1PO2-22.pdf,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=362,8 de marzo de 2023,0,53,9
Ley Federal de Revocación de Mandato ,Morena,Revisora,1,1,483,1,1,Si,No,Si,1 dia,Nueva Ley,1,https://gaceta.diputados.gob.mx/PDF/65/2021/sep/20210906-A.pdf,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=3,7 de septiembre de 2021,3,9,13
"Decreto por el que se adiciona una fracción X al artículo 10 de la Ley para el Desarrollo de la Competitividad de la Micro, Pequeña y Mediana Empresa",PRI,Origen,0,0,465,1,2,Si,No,No,5 meses,Modificación a Ley Existente,0,https://sitl.diputados.gob.mx/LXV_leg/cuadros_comparativos/1PO1/0203-1PO1-21.pdf,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=128,23 de marzo de 2022,0,32,17
Decreto por el que se reforma el artículo de la Constitución Política de los Estados Unidos Mexicanos. en materia de de inembargabilidad de recursos provenientes de programas sociales,Morena,Origen,0,0,459,2,1,No,Sí,No,2 años y un mes,Modificación Constitucional,0,https://gaceta.diputados.gob.mx/PDF/65/2022/sep/20220929-III.pdf#page=2,http://sil.gobernacion.gob.mx/ActividadLegislativa/Votacion/DetalleVotacion.php?SID=d0ea2c9dd9873b768ffdd00c33afb488&ClaveAsunto=4400382,29 de septiembre de 2022,0,35,10
"Decreto por el que se reform el parrafo primero y se adicionan los párrafos tercero y cuarto del Atículo Quinto Transitorio del Decreto por el que se reforman, adicionan, y derogfan diversas disposiciones de Constitución Política de los Estados Unidos Mexicanos en materia de Guardia Nacional",PRI,Origen,1,152,335,2,1,Si,No,No,12 dias,Modificación Constitucional,1,https://gaceta.diputados.gob.mx/PDF/65/2022/sep/20220914-II.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=212,14 de septiembre de 2022,4,12,12
"Proyecto de decreto que reforma los artículos 25, 27 y 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de energía",Ejecutivo,Origen,0,223,275,2,1,No aplica,Si,No,6 meses,Modificación Constitucional,1,http://sil.gobernacion.gob.mx/Archivos/Documentos/2022/04/asun_4352567_20220417_1650497114.pdf,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=164,17 de abril de 2022,2,1,17
"Decreto por el que se reforma el primer parrafo del artículo 65 de la Constitución Política de los Estados Unidos Mexicanos, en materia de periodos de sesiones ordinarias del Congreso de la Unión",PRI,Origen,1,0,444,3,1,Sí,No,No,6 meses,Modificación Constitucional,0,https://gaceta.diputados.gob.mx/PDF/65/2023/sep/20230905-IV.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=475,5 de septiembre de 2023,1,54,15
Decreto por el que se adiciona un artículo 23 Bis a la Ley de los derechos de las personas adultas mayores,PVEM,Origen,2,0,469,2,2,No,No,No,3 meses,Modificación a Ley Existente,0,https://gaceta.diputados.gob.mx/PDF/65/2023/feb/20230228-VIII.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=345,28 de febrero de 2023,0,28,8
"Decreto por el que se declara el 15 de marzo de cada año como el ""día nacional de la porcicultura""",PRI,Origen,6,0,445,3,2,No,No,No,2 años,Decreto,0,https://gaceta.diputados.gob.mx/PDF/65/2024/abr/20240429-V-1.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=725,29 de abril de 2024,6,26,144
Decreto por el que se adiciona una fracción XV al tercer párrafo del artículo 49 de la ley General de Movilidad y Seguridad Vial,PAN,Origen,0,25,409,3,2,No,No,No,5 meses,Modificación a Ley Existente,0,https://gaceta.diputados.gob.mx/PDF/65/2024/abr/20240429-V-1.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=722,29 de abril de 2024,3,42,143
Decreto por el que se adiciona un artículo 9 a la Ley de Amnistía en materia de otorgamiento de amnistía de manera directa,Morena,Revisora,1,205,258,3,2,Si,No,No,6 días,Modificación a Ley Existente,1,https://gaceta.diputados.gob.mx/PDF/65/2024/abr/20240424-V.pdf#page=31,http://sil.gobernacion.gob.mx/ActividadLegislativa/Votacion/DetalleVotacion.php?SID=af95f7117b23bf1cd9d25b78ac74afcf&ClaveAsunto=4749482,24 de abril de 2024,2,13,139
"Decreto por el que se expide la Ley General en materia de Humanidades, Ciencias, Tecnologías e Innovación y se reforman y adicionan diversas disposiciones de la Ley Federal de Entidades Paraestatales y de la Ley de Planeación ",Ejecutivo,Origen,2,209,257,2,2,Si,Si,No,4 meses,Nueva Ley,1,https://gaceta.diputados.gob.mx/PDF/65/2023/abr/20230425-IX.pdf#page=2,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=463,25 de abril de 2023,3,31,11
"Proyecto de decreto por el que se reforman, derogan y adicionan diversos artículos de la Constitución Política de los Estados Unidos Mexicanos en Materia Electoral",Ejecutivo,Origen,1,225,269,2,1,No aplica,Si,No,8 meses,Modificación Constitucional,1,https://gaceta.diputados.gob.mx/PDF/65/2022/dic/20221206-V.pdf,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=298,6 de diciembre de 2022,2,5,11
"Decreto por el que se reforman y adicionan diversas disposiciones de la ley federal del trabajo y de la ley federal de los trabajadores al servicio del estadp. reglamentaria del apartado B) del artículo 123 constitucional, en materia de permiso de paternidad",MC,Origen,2,1,409,3,1,No,No,No,1 año y 2 meses,Modificación a Ley Existente,0,https://gaceta.diputados.gob.mx/PDF/65/2023/dic/20231212-IV.pdf#page=19,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=574,12 de diciembre de 2023,3,85,20
Decreto por el que se reforman diversas disposiciones de la Ley Federal de Armas de Fuego y Explosivos,Morena,Origen,0,0,473,1,2,Si,No,No,4 meses,Modificación a Ley Existente,0,https://gaceta.diputados.gob.mx/PDF/65/2022/abr/20220405-V.pdf#page=57,https://sitl.diputados.gob.mx/LXV_leg/estadistico_votacionnplxv.php?votaciont=156,5 de abril de 2022,0,26,19
