code,LXV_1,LXV_2,LXV_3,LXV_4,LXV_5,LXV_6,LXV_7,LXV_8,LXV_9,LXV_10,LXV_11,LXV_12,LXV_13,LXV_14,LXV_15
mor1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
mor4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mor5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor6,0,0,0,0,0,0,3,0,33,33,33,3,0,0,0
mor7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor8,3,0,3,3,0,0,3,3,3,3,3,0,0,3,0
mor9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
mor10,0,0,33,0,0,33,0,0,0,0,0,0,0,3,33
mor11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mor12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mor13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor15,0,0,0,3,0,1,0,0,0,0,0,3,0,3,0
mor16,0,0,3,3,0,0,3,3,33,33,33,0,0,0,0
mor17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mor18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor19,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
mor20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor21,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mor23,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor24,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor25,0,0,0,0,0,0,0,0,33,33,33,0,0,0,3
mor26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mor27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor29,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor30,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
mor31,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0
mor32,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor35,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor36,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0
mor37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor39,0,0,0,3,0,0,0,0,33,33,33,0,0,0,0
mor40,22,0,22,22,22,22,3,22,3,3,0,22,22,0,22
mor41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor42,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
mor43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
mor45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mor47,22,22,22,22,22,22,22,22,0,0,0,22,22,22,22
mor48,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
mor49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor50,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor51,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
mor52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor54,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0
mor55,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor57,3,0,0,3,0,0,3,3,3,3,0,0,0,0,0
mor58,0,0,0,0,0,0,0,0,33,33,33,0,0,3,0
mor59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor60,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor63,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
mor64,0,0,0,0,0,0,0,0,33,33,33,0,0,3,0
mor65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mor66,22,22,22,22,22,22,22,22,0,0,0,22,22,22,22
mor67,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
mor68,3,0,0,0,0,33,0,0,0,0,0,0,0,3,0
mor69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor70,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mor71,0,33,33,33,33,33,3,33,0,0,0,33,33,0,33
mor72,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mor73,0,0,3,3,0,0,0,0,0,1,0,0,0,0,3
mor74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mor76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor77,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
mor78,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0
mor79,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor80,0,0,3,0,0,0,0,0,33,33,33,0,0,0,0
mor81,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
mor82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor83,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
mor84,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
mor85,0,0,0,0,0,0,0,3,33,33,33,0,0,0,3
mor86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mor87,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor88,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0
mor89,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor90,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
mor91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
